정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293064139,"가재마을5,8단지",36.5009207,127.2497831,3,0.682821649,0.257813736,0.0593646147,5371,88689,12.4,179.5,1.612903226,0,20,237,151656,151656,1.3469242616994428
293001075,조치원역뒤편,36.60061,127.29509,4,0.218495983,0.755498309,0.0260057079,3077,309714,28.8,66.6,0.694444444,0,11,392,212338,212338,1.2612164525225507
293053004,새롬동.나성동,36.48771,127.25729,4,0.515508527,0.459411152,0.0250803205,3064,83219,27.2,311.4,0.919117647,1,25,904,314988,123151,1.2463708827315962
293064264,다정동커뮤니티센터,36.494341,127.248799,4,0.585804384,0.384148823,0.0300467931,7579,40431,21.0,90.8,0.952380952,0,20,255,157288,157288,1.1593662600040964
293062013,정부세종청사북측,36.5051501,127.261382,11,0.439853065,0.459796654,0.100350282,414,107847,36.1,323.8,0.692520776,0,22,137,240378,240378,1.1152847931115693
293053003,"새롬동,나성동(청소년센터)",36.4877395,127.2571293,5,0.393344816,0.517296837,0.0893583465,3117,83219,27.2,311.4,0.919117647,1,28,904,192752,75360,1.108154070806241
293062012,정부세종청사북측,36.5048938,127.2616877,10,0.500307317,0.330810328,0.168882356,566,107847,29.1,359.2,0.859106529,0,21,64,232659,232659,1.1008853431052723
293064026,종촌종합복지센터,36.5022184,127.2474138,2,0.654502225,0.307581462,0.0379163139,4926,88689,13.7,406.4,1.824817518,0,21,349,55517,55517,1.0713079268301309
293064210,"시청,시의회,교육청,세무서",36.478356,127.288188,4,0.512650772,0.4301917,0.057157528,2887,30530,16.5,164.6,1.515151515,1,20,760,198644,77664,1.0404618872495677
293064254,"법원.검찰청,경찰청",36.486842,127.301429,3,0.461323521,0.514087232,0.0245892478,2771,9302,10.6,132.6,2.358490566,1,18,392,116311,45474,0.9945399265484541
293064436,한국산업인력공단(세종지사),36.4903,127.256369,5,0.269324499,0.707689864,0.0229856368,3600,83219,26.3,434.7,0.950570342,1,20,814,220355,86152,0.9711948052811197
293064241,"새뜸마을5,8단지",36.4825015,127.2535174,4,0.444738589,0.503108643,0.0521527676,3089,61979,13.2,115.3,1.515151515,0,17,229,115967,115967,0.9305257719019744
293064031,종촌종합복지센터,36.5019154,127.246929,2,0.429097254,0.55364612,0.0172566266,4419,88689,12.4,378.2,2.016129032,0,16,261,41839,41839,0.9112704629625293
293064211,"시청,시의회,교육청,세무서",36.478674,127.288769,4,0.455553323,0.509679796,0.034766881,3577,30530,21.2,158.1,1.179245283,1,20,772,179136,70037,0.9091218293762215
293064350,나릿재마을,36.4912197,127.2581891,2,0.428327991,0.525013186,0.0466588226,4852,83219,21.8,268.0,1.146788991,0,20,870,24647,24647,0.8770419558361415
293064205,"가락마을7,8단지",36.5051871,127.240274,3,0.704628145,0.274011923,0.0213599316,7517,195759,14.5,150.0,1.034482759,0,12,32,104167,104167,0.8655983008667094
293064351,대평동커뮤니티센터,36.4724194,127.2790898,3,0.465281449,0.460998613,0.0737199378,4016,53839,18.5,50.0,1.081081081,0,16,267,130521,130521,0.8473080157815873
293064353,대평동커뮤니티센터,36.4722476,127.2788336,3,0.571018005,0.371813872,0.0571681228,4390,53839,18.2,53.8,1.098901099,0,16,286,122131,122131,0.8467183997398128
293064349,나릿재마을,36.4914044,127.2581439,2,0.523844588,0.43232122,0.0438341924,5025,83219,21.9,252.3,1.141552511,0,18,882,23087,23087,0.8383767830095319
293064263,다정동커뮤니티센터,36.495506,127.249035,4,0.38319766,0.586080045,0.0307222953,5359,40431,22.1,109.1,0.904977376,0,15,269,135374,135374,0.8263045185017466
293064142,대법원등기정보센터,36.5121017,127.2423505,2,0.21874676,0.760252366,0.0210008738,2786,151477,14.3,106.3,1.748251748,0,11,305,67521,67521,0.8160485549829521
293064158,"가락마을7,8단지",36.5055858,127.2395189,3,0.367639868,0.613816578,0.0185435543,6518,195759,14.5,137.0,1.034482759,0,11,26,104295,104295,0.7897482230422135
293064007,한솔중학교(첫마을7단지),36.47538,127.25558,4,0.566066933,0.41698809,0.0169449769,2849,61979,14.1,99.8,1.773049645,0,7,23,129891,129891,0.7630640177598704
293064125,가재마을7단지,36.5049528,127.248745,2,0.609791601,0.369347576,0.0208608231,7115,88689,32.5,23.3,0.461538462,0,19,332,95490,95490,0.738506228529337
293064217,소담동(새샘마을),36.4827102,127.2973234,3,0.645858343,0.299459319,0.0546823381,5302,9302,33.6,136.4,0.744047619,0,23,189,107457,107457,0.7354395791292052
