정류장ID,정류장명,위도,경도
293011039,감성초등학교,36.44355,127.28742
293011040,두만리(산동마을),36.43671,127.2877
293011041,감성초등학교,36.44337,127.28774
293011042,감성리(32사 방면),36.44005,127.28813
293011043,감성리,36.440359,127.2883289
293011045,두만2리,36.42736,127.29114
293011046,송림사입구,36.43899,127.29402
293011047,송림사입구,36.43892,127.29418
293011048,축산리마을회관,36.44161,127.30045
293011049,축산리마을회관,36.44147,127.3008
293011050,축산리,36.43995,127.30652
293011051,축산리,36.43975,127.30656
293011055,금천1리,36.4421,127.31367
293011056,금천1리,36.44227,127.31377
293011057,남곡리마을회관,36.4704,127.31377
293011059,금천1리마을회관,36.4421,127.3155
293011060,금천1리마을회관,36.44226,127.3156
293011061,황용2리,36.4745,127.3184
293011062,황용2리,36.47452,127.31857
293011063,금천2리마을회관,36.43823,127.31981
293011064,새나루마을1단지,36.48595,127.32072
293011065,황용리(황용1교),36.47964,127.32127
293011066,새나루마을1단지,36.48592,127.32104
293011067,새나루마을8단지,36.4892,127.32362
293011068,새나루마을8단지,36.48908,127.32385
293011069,새나루마을9단지,36.4908651,127.3243797
293011070,새나루마을9단지,36.4908357,127.3247427
293011071,황용리,36.48109,127.3239
293011072,황용교,36.481796,127.323949
293011073,황용교,36.482016,127.324181
293011075,산학연클러스터,36.497569,127.33027
293011076,산학연클러스터,36.497241,127.330506
293011077,집현동,36.498159,127.337564
293011078,황용리삼성복지회관,36.48021,127.32967
293011079,집현동,36.4999553,127.3334594
293011080,황용리삼성복지회관,36.48012,127.32997
293011081,영대1리마을회관,36.45845,127.33336
293011082,황용사,36.47403,127.33406
293011083,황용사,36.47385,127.3342
293011084,초정약수터,36.47949,127.33524
293011085,영대리,36.46787,127.33543
293011086,영대리,36.4678,127.33567
293011087,초정약수터,36.47936,127.3358
293011088,달전리(한울농장),36.46182,127.34222
293011089,달전리(한울농장),36.4617,127.34258
293011090,대박리(광덕사),36.47818,127.34409
293011091,부용1리,36.49752,127.34413
293011092,대박리(광덕사),36.47829,127.34445
293011093,부용1리,36.49779,127.34486
293011094,달전리,36.45984,127.34676
293011095,달전리,36.45978,127.34699
293011096,달전리마을회관,36.462221,127.349332
293011097,달전리마을회관,36.46223,127.34918
293011098,대박리,36.47707,127.3494
293011099,대박리,36.47716,127.34951
293011100,망골,36.45954,127.35183
293011101,망골,36.45971,127.35184
293011102,박산리(작약골),36.47709,127.35183
293011103,박산리,36.4773,127.35433
293011104,박산리,36.47721,127.3546
293011105,부용2리,36.5125,127.35861
293011106,부용2리,36.51229,127.35845
293011107,박산고개,36.47516,127.36239
293011108,박산고개,36.47503,127.36245
293011109,황용리(황용1교),36.4797727,127.3214339
293012001,금호2리노인회관,36.50201,127.35459
293012002,금호2리노인회관,36.50221,127.35515
293012003,갈산2리,36.53756,127.35598
293012004,갈산2리,36.53772,127.35615
293012005,금호2리공단입구,36.5038391,127.3578931
293012006,금호2리공단입구,36.50417,127.358
293012007,산수리입구,36.55433,127.35824
293012008,부강리,36.53303,127.35955
293012009,부강리,36.53291,127.36088
293012010,저산리,36.56182,127.36194
293012011,부강역,36.53189,127.36464
293012012,금호3리,36.5095,127.3651
293012013,금호3리,36.50934,127.36516
293012014,부강역,36.53192,127.36517
293012015,저산2리,36.56219,127.36536
293012017,부강면,36.52986,127.36613
293012019,아시아제지기숙사,36.49114,127.36665
293012021,부강초등학교,36.52823,127.36714
293012022,갈산리,36.5466,127.3677
293012023,부강3리,36.52795,127.368
