정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293062006,정부세종청사남측,36.5008869,127.2596196,5,0.443960132,0.495191841,0.0608480271,18,107847,25.8,289.3,0.968992248,TRUE,17,109,319353,124857,0.583165178
293064113,"가락마을17,18단지",36.5197921,127.2346313,3,0.519995838,0.453921127,0.0260830356,1660,195759,20.9,85.1,1.196172249,거짓,9,223,86493,86493,0.581945806
293064027,"종촌초등학교(가재마을1,2단지)",36.5020819,127.2425959,2,0.573651169,0.409789828,0.0165590028,5874,88689,13.7,406.4,1.824817518,거짓,10,44,21982,21982,0.581048183
293064150,대법원등기정보센터,36.5118935,127.2423344,2,0.75905697,0.178623082,0.0623199483,2643,151477,25.5,94.2,0.980392157,거짓,11,304,85045,85045,0.565539599
293064307,"가온마을6,9단지",36.4986116,127.2491786,5,0.432598067,0.54269831,0.0247036235,5390,40431,16.1,190.8,1.242236025,거짓,10,78,89582,89582,0.56472053
293064524,"나릿재마을4,6단지",36.491527,127.261263,2,0.305619553,0.673845537,0.0205349093,2077,83219,15.4,165.5,1.623376623,거짓,12,588,9983,9983,0.553497026
293064029,고운중학교,36.5060786,127.2377584,2,0.703036145,0.276208835,0.0207550201,4053,195759,17.2,77.9,1.453488372,거짓,9,169,31125,31125,0.544703303
293064006,첫마을6단지,36.47503,127.25326,6,0.434189259,0.513384,0.0524267414,3404,61979,20.9,123.6,0.956937799,거짓,5,34,157763,157763,0.53469508
293064099,"범지기3,9단지(청소년센터)",36.518782,127.2444672,4,0.602441596,0.346382219,0.0511761843,4493,151477,15.4,64.6,1.623376623,TRUE,7,8,123280,48198,0.534079461
293064124,고운동커뮤니티센터남측,36.5043276,127.2347772,3,0.602636775,0.359879196,0.0374840283,2461,195759,15.2,86.3,0.986842105,거짓,9,219,86090,86090,0.532430122
293053011,한솔동,36.48034,127.26243,5,0.443172018,0.504147312,0.0526806699,2462,83219,40.7,248.1,0.614250614,TRUE,17,266,270175,105630,0.523797374
293064214,소담동 새샘마을,36.4824576,127.2972683,4,0.534020443,0.429315975,0.0366635821,4830,9302,33.6,136.4,0.744047619,TRUE,21,194,188034,73515,0.521773474
293064166,"호려울마을8,9단지",36.4796473,127.2960085,2,0.80972973,0.177615262,0.0126550079,4564,30530,14.2,82.5,1.76056338,거짓,13,41,31450,31450,0.521358995
293062004,다정동,36.49491,127.25649,3,0.461119704,0.519249083,0.0196312134,2789,83219,43.2,590.7,0.578703704,TRUE,13,231,329730,128915,0.521003833
293064242,"새뜸마을5,8단지",36.4823928,127.2532777,4,0.661312647,0.30782569,0.0308616625,2988,61979,18.3,86.8,1.092896175,거짓,16,232,65745,65745,0.511105485
293062009,과기정통부(중기부),36.49753,127.26038,1,0.0241786015,0.974304971,0.00151642797,1334,107847,14,111.1,1.785714286,거짓,13,294,11870,11870,0.500324555
293064352,가락마을6단지,36.502547,127.238868,2,0.262147626,0.725952028,0.0119003462,4299,195759,17.4,124.5,1.436781609,거짓,8,62,32352,32352,0.481301386
293064216,소담동 새샘마을,36.4826387,127.2977367,4,0.472980375,0.311410393,0.215609232,5641,9302,40.8,139.8,0.612745098,TRUE,20,176,189862,74230,0.480972257
293064268,과학기술정보통신부,36.496085,127.2630356,3,0.409030977,0.536704396,0.0542646278,1323,107847,26.6,149.9,0.939849624,거짓,17,373,58399,58399,0.478111576
293064523,"나릿재마을 4,6단지",36.4916231,127.2611096,2,0.524473649,0.455142819,0.0203835323,2107,83219,18.3,187.2,1.366120219,거짓,12,599,14914,14914,0.475011903
293064515,"새샘마을7,8단지",36.48683,127.29981,3,0.561503047,0.407969893,0.0305270598,4154,9302,19.5,94.5,0.769230769,거짓,20,373,52347,52347,0.470686447
293064077,국책연구단지북측,36.4955579,127.3033473,5,0.353010933,0.594242921,0.052746146,1328,29318,11,156.3,1.818181818,거짓,11,47,61559,61559,0.467019683
