LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,택시 평균 속도,택시 평균 통행량
4130293900,4130067800,4130067300,2,104,3,-,보듬7로,0,0,0,50,0,0,0,0,71.4738634,20230519,,,,28.9,115.2
4130293100,4130055400,4130057400,1,104,0,-,고운북9길,0,0,0,40,0,0,0,0,182.1129349,20230519,,,,17,4.1
4130294000,4130067300,4130067800,2,104,3,-,보듬7로,0,0,0,50,0,0,0,0,71.72941912,20230519,,,,37.7,75.6
4130294100,4130072000,4130073200,1,104,0,-,바른5길,0,0,0,30,0,0,0,0,316.3027033,20230519,,,,38,60.5
4130294400,4130070200,4130070800,1,104,0,-,바른6길,0,0,0,30,0,0,0,0,215.6903913,20230519,,,,35.6,2.6
4130294700,4130057400,4130055600,1,104,0,-,고운북8길,0,0,0,40,0,0,0,0,195.4295895,20230519,,,,18.8,5.7
4130294800,4130055600,4130057400,1,104,0,-,고운북8길,0,0,0,40,0,0,0,0,195.4535528,20230519,,,,21.3,3.8
4130295900,4130059200,4130057500,1,104,0,-,마음안1로,0,0,0,30,0,0,0,0,235.9623445,20230519,,,,17.3,56.2
4130296500,4130078100,4130078600,2,104,0,-,보듬7로,0,0,0,50,0,0,0,0,74.38419997,20230519,,,,36.1,100.7
4130296400,4130076500,4130075400,1,104,0,-,바른4길,0,0,0,30,0,0,0,0,186.8071975,20230519,,,,48.7,52
4130296700,4130066900,4130065200,2,104,0,-,마음로,0,0,0,50,0,0,0,0,184.6533556,20230519,,,,31.4,149.2
4130296600,4130078600,4130078100,2,104,0,-,보듬7로,0,0,0,50,0,0,0,0,74.33517257,20230519,,,,26.2,121.9
4130296900,4130061000,4130060900,1,104,0,-,마음로,0,0,0,40,0,0,0,0,40.79677457,20230519,,,,24.9,29.8
4130307400,4130170000,4130170200,1,104,0,-,시장1길,0,0,0,50,0,0,0,0,106.3356472,20230519,,,,27.8,9.5
4130299600,4130134900,4130133500,2,104,0,-,원수산로,0,0,0,50,0,0,0,0,392.3150659,20230519,,,,79.5,160
4130299500,4130133500,4130134900,2,104,0,-,원수산로,0,0,0,50,0,0,0,0,393.4332602,20230519,,,,66.5,248.6
4130300700,4130151300,4130151700,2,105,0,96,연청로,0,0,0,60,0,0,0,0,269.2633061,20230519,,,,60.5,93.5
4130017500,4130037500,4130000700,1,104,0,-,소정산단서로,0,0,0,40,0,0,0,0,212.9370957,20230519,,,,24.3,3.5
4130017800,4130000600,4130000700,2,104,0,-,매실로,0,0,0,40,0,0,0,0,93.39139409,20230519,,,,36.1,2
4130039600,4130009400,4130009500,2,104,3,-,연청로,0,0,0,70,0,0,0,0,132.078832,20230519,,,,49.1,5.3
4130059200,4130073400,4130075600,1,104,0,-,새롬서로,0,0,0,30,0,0,0,0,273.6668841,20230519,,,,18.2,46.6
4130059900,4130075700,4130076800,1,104,0,-,새롬중앙로,0,0,0,30,0,0,0,0,214.7191533,20230519,,,,23,58.2
4130071500,4130147000,4130019800,1,104,0,-,소담1로,0,0,0,30,0,0,0,0,62.95495223,20230519,,,,20.5,48.8
4130073500,4130146300,4130020400,1,104,0,-,소담4로,0,0,0,30,0,0,0,0,77.5078279,20230519,,,,29.7,110.2
4130301500,4130068400,4130071600,3,103,0,1,세종로,0,1,0,70,0,0,0,0,595.074839,20230519,,,,65.8,205.8
4130328500,4130147900,4130148700,3,106,0,604,세종오송로,0,0,0,80,0,0,0,0,294.3995547,20230519,,,,35.4,501.8
4130303500,4130173400,4130173100,1,104,0,-,부강외천로,0,0,0,60,0,0,0,0,770.6167497,20230519,,,,31.4,15.9
4130316400,4130168000,4130169400,2,106,0,591,청연로,0,0,0,60,0,0,0,0,266.9229543,20230519,,,,31.1,21.6
4130312800,4130172600,4130172800,1,104,0,-,문곡구절골길,0,0,0,30,0,0,0,0,1559.675192,20230519,,,,40.3,14.8
4130346300,4130164300,4130164500,1,104,3,-,갈산산수로,0,0,0,10,0,0,0,0,11.95574718,20230519,,,,52,0
4130368100,4130137600,4130141900,1,104,0,-,비로봉길,0,0,0,30,0,0,0,0,248.1137972,20230519,,,,33.8,170.7
4130442600,4130045200,4130045100,1,104,0,-,동신길,0,0,0,30,0,0,0,0,85.7855869,20230519,,,,24.1,7.5
4130368300,4130047200,4130037200,1,106,0,604,도신고복로,0,0,0,60,0,0,0,0,2265.240945,20230519,,,,42.5,3.8
4130302900,4130035600,4130037800,1,106,0,627,의당전의로,0,0,0,60,0,0,0,0,1813.425696,20230519,,,,42.5,128.5
