정류장ID,정류장명,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,승차,하차,환승,위도,경도
293062009,과기정통부(중기부),0,0,0,0,13,287,11565,18,36.49753,127.26038
293062008,정부세종청사남측,0,0,4,0,13,124498,153410,63902,36.5016046,127.2601032
293062007,정부세종청사남측,0,0,4,0,14,127745,118869,19715,36.50173,127.25991
293062006,정부세종청사남측,0,0,3,0,14,141780,158141,19432,36.5008869,127.2596196
293062005,정부세종청사남측,0,0,3,0,14,183117,92176,107229,36.5008322,127.2593406
293062004,다정동,0,0,0,0,13,152045,171212,6473,36.49491,127.25649
293062003,어진중학교(가재마을9단지),0,0,0,0,9,66058,43852,12434,36.4989327,127.2549113
293062018,문화체육관광부,0,0,1,0,9,5011,16693,328,36.49931,127.26472
293062017,문화체육관광부,0,0,1,0,12,14837,12044,707,36.49815,127.2644
293062014,정부세종청사북측,0,0,5,0,18,191516,153595,25586,36.5050692,127.2615051
293062013,정부세종청사북측,0,0,5,0,17,105731,110525,24122,36.5051501,127.261382
293062012,정부세종청사북측,0,0,5,0,16,116401,76966,39292,36.5048938,127.2616877
293062011,정부세종청사북측,0,0,6,0,15,159069,170047,14218,36.504176,127.2611617
293063001,가재마을5단지.가온마을6단지,0,0,0,0,14,3758,6819,153,36.49915,127.24736
293062027,공정거래위원회,0,0,4,0,8,21262,18215,915,36.504461,127.267198
293062026,국무조정실(한뜰마을3단지),0,0,1,0,9,16460,9603,639,36.50383,127.27132
293062025,국무조정실(한뜰마을3단지),0,0,1,0,9,15702,17408,293,36.50408,127.27115
293062024,"양지중학교(한뜰마을1,2단지)",0,0,2,0,8,51878,51924,11867,36.50712,127.26767
293062021,공정거래위원회,0,0,3,0,9,26115,24442,1724,36.50435,127.26735
293062020,정부세종청사 중앙동,0,0,2,0,8,8751,9279,561,36.50168,127.26609
293062019,정부세종청사 중앙동,0,0,4,0,8,7896,14044,278,36.50222,127.26608
293064007,한솔중학교(첫마을7단지),0,0,0,0,7,73527,54163,2201,36.47538,127.25558
293064006,첫마을6단지,0,0,0,0,5,68499,80993,8271,36.47503,127.25326
293064005,첫마을6단지,0,0,0,0,7,100963,60539,15076,36.47542,127.25308
293064004,첫마을4단지,0,0,0,0,10,53835,44538,5335,36.47998,127.25203
293064003,첫마을4단지,0,0,0,0,11,42587,57263,6999,36.48019,127.2516
293064002,첫마을5단지,0,0,0,0,5,65564,29106,2248,36.4777,127.25004
293064001,첫마을5단지,0,0,0,0,5,40222,65002,1383,36.47762,127.24973
293063002,가재마을5단지.가온마을6단지,0,0,0,0,15,9421,7584,822,36.4994482,127.2466099
293014034,세종호수공원,0,0,0,0,1,1368,1555,40,36.50216,127.27738
293064008,한솔중학교(첫마을7단지),0,0,0,0,7,58773,42312,1926,36.47491,127.2557
293064027,"종촌초등학교(가재마을1,2단지)",0,0,0,0,10,12610,9008,364,36.5020819,127.2425959
293064026,종촌종합복지센터,0,0,0,1,20,36336,17076,2105,36.5022184,127.2474138
293064025,"가재마을9, 10단지",0,0,0,1,13,8460,7865,491,36.5018101,127.2525964
293064032,"가재마을9, 10단지",0,0,0,1,12,5624,8162,225,36.5015892,127.2525636
293064031,종촌종합복지센터,0,0,0,1,15,17953,23164,722,36.5019154,127.246929
293064030,"종촌초등학교(가재마을1,2단지)",0,0,0,0,9,22497,13032,364,36.5018836,127.2425854
293064029,고운중학교,0,0,0,0,9,21882,8597,646,36.5060786,127.2377584
293064028,고운중학교,0,0,0,0,8,10744,13153,364,36.5068832,127.2367283
293064059,범지기마을4단지,0,0,0,0,8,2558,15517,249,36.507833,127.2490874
293064058,도램마을1단지,0,0,1,0,7,18016,7617,1923,36.5078138,127.2572564
293064056,범지기마을10단지,0,0,0,0,7,17242,12527,892,36.5185438,127.2524761
293064080,"시청,시의회,교육청,세무서",0,0,1,1,17,118817,74946,15549,36.478828,127.288963
293064055,아름초등학교,0,0,0,0,8,24555,10295,399,36.5153587,127.2511516
293064079,"시청,시의회,교육청,세무서",0,0,1,1,18,95795,106358,13439,36.478188,127.288035
293064054,"범지기마을8,12단지",0,0,0,2,16,42637,41314,1624,36.5125038,127.2504125
293064078,국책연구단지북측,0,0,1,0,8,26511,27579,2350,36.4959817,127.3034244
293064095,"두루초,중학교",0,0,0,0,9,23902,12307,1359,36.5191814,127.2394622
293064051,세종충남대병원,0,0,0,0,6,35469,30327,4461,36.5186505,127.2570215
293064094,두루중학교,0,0,0,0,10,13503,12913,512,36.5174909,127.2373346
293064093,두루중학교,0,0,0,0,11,22501,13497,397,36.5173305,127.2381952
293064069,"종촌고(가재마을3,4단지)",0,0,0,0,8,29014,48505,432,36.5052447,127.2443833
