대여소 번호,대여소 아이디,대여소 이름,사용유무,주소(구),주소(동),상세주소,경도,위도,권역,지오펜스 거리,등록일,수정일
77,SJ_00077,다정동_가온511동앞,Y,세종,다정동,세종특별자치시 다정동 334,127.245049,36.494615,2,30,2018-08-06 14:21,2020-12-10 10:24
78,SJ_00078,다정동_the다정빌딩옆,Y,세종,다정동,세종특별자치시 다정동 7-3,127.24858,36.494859,2,30,2018-08-06 14:22,2020-12-10 10:24
79,SJ_00079,다정동_가온403동건너편 공원,Y,세종,다정동,세종특별자치시 다정동 9-3,127.248148,36.493878,2,30,2018-08-06 14:24,2021-08-04 12:07
80,SJ_00080,다정동_가온414동,Y,세종,다정동,세종특별자치시 다정동 363-257,127.249472,36.490763,2,25,2018-08-06 14:27,2021-09-09 18:19
81,SJ_00081,다정동_가온1006동앞,Y,세종,다정동,세종특별자치시 다정동 363-38,127.25243,36.490872,2,30,2018-08-06 14:28,2020-12-10 10:24
82,SJ_00082,다정동_가온703동 옆,Y,세종,다정동,세종특별자치시 다정동 967,127.252106,36.492861,2,30,2018-08-06 14:29,2021-08-04 9:10
83,SJ_00083,다정동_가온1215옆,Y,세종,다정동,세종특별자치시 다정동 363-153,127.252411,36.493288,2,30,2018-08-06 14:30,2020-12-10 10:24
84,SJ_00084,다정동_가온8단지앞상가(페스티발2),Y,세종,다정동,세종특별자치시 다정동 7-4,127.249278,36.494827,2,15,2018-08-06 14:31,2021-12-07 19:48
85,SJ_00085,나성동_모닝시티오피스텔,Y,세종,나성동,세종특별자치시 나성동 734,127.25591,36.491253,2,40,2018-08-06 14:32,2020-12-10 17:48
86,SJ_00086,다정동_가온807동앞,Y,세종,다정동,세종특별자치시 다정동 13,127.252129,36.495453,2,30,2018-08-06 14:33,2020-12-10 10:24
87,SJ_00087,다정동_가온312동앞,Y,세종,다정동,세종특별자치시 다정동 308-5,127.240739,36.499051,2,30,2018-08-06 14:36,2020-12-10 10:24
88,SJ_00088,다정동_가온314동앞,Y,세종,종촌동,세종특별자치시 종촌동 710,127.243434,36.499395,2,35,2018-08-06 14:38,2020-12-15 14:04
89,SJ_00089,다정동_가온315동앞,Y,세종,다정동,세종특별자치시 다정동 273-4,127.244546,36.499254,2,30,2018-08-06 14:39,2020-12-10 10:24
90,SJ_00090,다정동_가온607동앞,Y,세종,다정동,세종특별자치시 다정동 1-1,127.245067,36.498814,2,30,2018-08-06 14:40,2020-12-10 10:24
91,SJ_00091,다정동_가온603동앞 공원,Y,세종,다정동,세종특별자치시 다정동 85-1,127.248717,36.498982,2,30,2018-08-06 14:40,2020-12-10 10:24
92,SJ_00092,다정동_가온603동앞,Y,세종,다정동,세종특별자치시 다정동 85-2,127.248864,36.498653,2,30,2018-08-06 14:41,2020-12-10 10:24
93,SJ_00093,다정동_가온906동앞,Y,세종,다정동,세종특별자치시 다정동 93,127.249656,36.498909,2,25,2018-08-06 14:43,2021-04-02 17:44
94,SJ_00094,다정동_가온904동앞 공원,Y,세종,다정동,세종특별자치시 다정동 95,127.251723,36.498332,2,30,2018-08-06 14:43,2021-08-04 12:11
95,SJ_00095,고운동_고운동(만남로),Y,세종,고운동,세종특별자치시 고운동 1816,127.236016,36.501136,1,30,2018-08-06 14:48,2020-12-10 10:24
96,SJ_00096,고운동_가락602동앞,Y,세종,고운동,세종특별자치시 고운동 2057,127.239876,36.50235,1,30,2018-08-06 14:50,2020-12-10 10:24
97,SJ_00097,고운동_가락612동건너편,Y,세종,고운동,세종특별자치시 고운동 1740,127.238061,36.502561,1,30,2018-08-06 14:51,2020-12-10 10:24
98,SJ_00098,고운동_가락704동앞,Y,세종,고운동,세종특별자치시 고운동 1724,127.237998,36.504463,1,30,2018-08-06 14:52,2020-12-10 10:24
99,SJ_00099,고운동_그랜드프라자앞,Y,세종,고운동,세종특별자치시 고운동 2057,127.233817,36.505251,1,30,2018-08-06 14:54,2020-12-10 10:24
100,SJ_00100,고운동_가락303동앞,Y,세종,고운동,세종특별자치시 고운동 1708,127.2367,36.506601,1,40,2018-08-06 14:56,2022-05-16 9:36
101,SJ_00101,고운동_고운중학교,Y,세종,고운동,세종특별자치시 고운동 1709,127.237259,36.506298,1,20,2018-08-06 14:57,2020-12-10 10:24
102,SJ_00102,고운동_고운중 버스정류장,Y,세종,고운동,세종특별자치시 고운동 1709,127.237513,36.506158,1,20,2018-08-06 14:58,2020-12-10 10:24
103,SJ_00103,고운동_가락801동앞,Y,세종,고운동,세종특별자치시 고운동 2058,127.239389,36.507022,1,50,2018-08-06 14:59,2020-12-10 10:24
104,SJ_00104,고운동_참샘빌딩건너편,Y,세종,고운동,세종특별자치시 고운동 2058,127.234265,36.506451,1,30,2018-08-06 16:03,2020-12-10 10:24
105,SJ_00105,고운동_마음로 버스정류장,Y,세종,고운동,세종특별자치시 고운동 2057,127.231786,36.507032,1,30,2018-08-06 16:06,2020-12-10 10:24
106,SJ_00106,고운동_으뜸초등학교건너편,Y,세종,고운동,세종특별자치시 고운동 1466,127.230843,36.507874,1,30,2018-08-06 16:09,2020-12-10 10:24
107,SJ_00107,고운동_가락1103동앞,Y,세종,고운동,세종특별자치시 고운동 2057,127.22993,36.510399,1,30,2018-08-06 16:15,2020-12-10 10:24
