정류장ID,정류장명,위도,경도,노선 개수,승차,하차,환승,승차 비율,하차 비율,환승 비율,고정인구,유동인구,기차역,고속/시외버스 터미널,택시 승강장,공영 주차장,어울링 대여소,상가,중고등학교,대학교,관광 명소,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부
293064004,첫마을4단지,36.47998,127.25203,6,53835,44538,5335,0.519101709,0.42945578,0.0514425117,4735,61979,0,0,0,0,10,87,2,0,0,21.4,44.7,0.700934579,0
293064003,첫마을4단지,36.48019,127.2516,6,42587,57263,6999,0.398571816,0.535924529,0.0655036547,4606,61979,0,0,0,0,11,87,2,0,0,19.8,38.1,0.757575758,0
293064002,첫마을5단지,36.4777,127.25004,6,65564,29106,2248,0.676489403,0.300315731,0.0231948658,3788,61979,0,0,0,0,5,51,1,0,0,26.1,40.2,0.766283525,0
293064001,첫마을5단지,36.47762,127.24973,5,40222,65002,1383,0.377292298,0.60973482,0.0129728817,3533,61979,0,0,0,0,5,51,1,0,0,17.4,37.3,1.149425287,0
293063002,가재마을5단지.가온마을6단지,36.4994482,127.2466099,3,9421,7584,822,0.528468054,0.425422113,0.0461098334,6273,88689,0,0,0,0,15,34,0,0,0,26.5,206.2,0.943396226,1
293014034,세종호수공원,36.50216,127.27738,1,1368,1555,40,0.461694229,0.52480594,0.0134998313,652,107847,0,0,0,0,1,0,0,0,0,42,182.1,0.595238095,0
293064008,한솔중학교(첫마을7단지),36.47491,127.2557,4,58773,42312,1926,0.570550718,0.41075225,0.0186970324,3552,61979,0,0,0,0,7,17,1,0,0,34,92.7,0.735294118,0
293064027,"종촌초등학교(가재마을1,2단지)",36.5020819,127.2425959,2,12610,9008,364,0.573651169,0.409789828,0.0165590028,5874,88689,0,0,0,0,10,43,1,0,0,13.7,406.4,1.824817518,0
293064026,종촌종합복지센터,36.5022184,127.2474138,2,36336,17076,2105,0.654502225,0.307581462,0.0379163139,4926,88689,0,0,0,1,20,347,2,0,0,13.7,406.4,1.824817518,0
293064025,"가재마을9, 10단지",36.5018101,127.2525964,2,8460,7865,491,0.503092293,0.467709324,0.0291983825,3215,88689,0,0,0,1,13,105,0,0,1,23.3,193.3,1.072961373,0
293064032,"가재마을9, 10단지",36.5015892,127.2525636,2,5624,8162,225,0.401398901,0.582542288,0.0160588109,3345,88689,0,0,0,1,12,90,0,0,0,22.9,181.6,1.091703057,0
293064031,종촌종합복지센터,36.5019154,127.246929,2,17953,23164,722,0.429097254,0.55364612,0.0172566266,4419,88689,0,0,0,1,15,259,2,0,0,12.4,378.2,2.016129032,0
293064030,"종촌초등학교(가재마을1,2단지)",36.5018836,127.2425854,2,22497,13032,364,0.626779595,0.363079152,0.0101412532,5501,88689,0,0,0,0,9,43,1,0,0,12.4,378.2,2.016129032,0
293064029,고운중학교,36.5060786,127.2377584,2,21882,8597,646,0.703036145,0.276208835,0.0207550201,4053,195759,0,0,0,0,9,168,1,0,0,17.2,77.9,1.453488372,0
293064028,고운중학교,36.5068832,127.2367283,2,10744,13153,364,0.442850666,0.542145831,0.0150035036,3355,195759,0,0,0,0,8,180,1,0,0,17.4,75,1.436781609,0
293064059,범지기마을4단지,36.507833,127.2490874,1,2558,15517,249,0.139598341,0.846812923,0.0135887361,5539,151477,0,0,0,0,8,68,0,0,0,33.8,163.4,0.73964497,0
293064058,도램마을1단지,36.5078138,127.2572564,2,18016,7617,1923,0.653795907,0.276418929,0.0697851648,2170,107847,0,0,1,0,7,87,0,0,0,41.9,117.9,0.596658711,0
293064056,범지기마을10단지,36.5185438,127.2524761,2,17242,12527,892,0.562343042,0.408564626,0.0290923323,2877,151477,0,0,0,0,7,32,0,0,0,24.9,91.8,0.803212851,0
293064080,"시청,시의회,교육청,세무서",36.478828,127.288963,5,118817,74946,15549,0.567654984,0.358058783,0.074286233,2937,30530,0,0,1,1,17,744,0,0,0,21.2,158.1,1.179245283,0
293064055,아름초등학교,36.5153587,127.2511516,2,24555,10295,399,0.696615507,0.292065023,0.0113194701,3591,151477,0,0,0,0,8,4,0,0,0,23.7,51.4,0.632911392,0
293064079,"시청,시의회,교육청,세무서",36.478188,127.288035,5,95795,106358,13439,0.444334669,0.493329994,0.0623353371,2887,30530,0,0,1,1,18,760,0,0,0,16.5,164.6,1.515151515,0
293064054,"범지기마을8,12단지",36.5125038,127.2504125,2,42637,41314,1624,0.498241309,0.482781186,0.0189775051,3462,151477,0,0,0,2,16,252,0,0,0,29.5,48.1,0.847457627,0
